prop,count,
http://www.wikidata.org/P156,9,
http://www.wikidata.org/P156,9,
http://www.wikidata.org/P7851,9,
http://www.wikidata.org/P9473,9,
http://www.wikidata.org/P7851,9,
http://www.wikidata.org/P9473,9,
http://www.wikidata.org/P747,9,
http://www.wikidata.org/P747,9,
http://www.wikidata.org/P6366,8,
http://www.wikidata.org-normalized/P6366,8,
http://www.wikidata.org/P6366,8,
http://www.wikidata.org/P856,8,
http://www.wikidata.org/P856,8,
http://www.wikidata.org/P2681,8,
http://www.wikidata.org/P2681,8,
http://www.wikidata.org/P5499,8,
http://www.wikidata.org/P5499,8,
http://www.wikidata.org/P269,8,
http://www.wikidata.org-normalized/P269,8,
http://www.wikidata.org/P269,8,
http://www.wikidata.org/P6152,8,
http://www.wikidata.org/P6152,8,
http://www.wikidata.org/P3712,8,
http://www.wikidata.org/P3712,8,
http://www.wikidata.org/P4713,7,
http://www.wikidata.org/P4713,7,
http://www.wikidata.org/P7937,7,
http://www.wikidata.org/P7937,7,
http://www.wikidata.org/P10283,7,
http://www.wikidata.org/P10283,7,
http://www.wikidata.org/P1212,7,
http://www.wikidata.org/P3893,7,
http://www.wikidata.org/P3893,7,
http://www.wikidata.org/P1212,7,
http://www.wikidata.org/P86,7,
http://www.wikidata.org/P86,7,
http://www.wikidata.org/P345,7,
http://www.wikidata.org/P3138,7,
http://www.wikidata.org/P4935,7,
http://www.wikidata.org/P4935,7,
http://www.wikidata.org/P3138,7,
http://www.wikidata.org/P582,7,
http://www.wikidata.org/P582,7,
http://www.wikidata.org/P2044,7,
http://www.wikidata.org/P2044,7,
http://www.wikidata.org/P2789,7,
http://www.wikidata.org/P2789,7,
http://www.wikidata.org/P8408,7,
http://www.wikidata.org-normalized/P8408,7,
http://www.wikidata.org/P8408,7,
http://www.wikidata.org/P123,7,
http://www.wikidata.org/P123,7,
http://www.wikidata.org/P4692,7,
http://www.wikidata.org/P4692,7,
http://www.wikidata.org/P6141,7,
http://www.wikidata.org/P6141,7,
http://www.wikidata.org/P4625,6,
