item,itemLabel,oeblxml,GND
http://www.wikidata.org/entity/Q677637,Armand Kaminka,K/Kaminka_Aharon_1866_1950,124505392
http://www.wikidata.org/entity/Q683579,Guglielmo Oberdan,O/Oberdank_Wilhelm_1858_1882,124731651
http://www.wikidata.org/entity/Q685361,Thomas Ender,E/Ender_Thomas_1793_1875,118530267
http://www.wikidata.org/entity/Q687135,Bertalan Szemere,S/Szemere_Bertalan_1812_1869,119026201
http://www.wikidata.org/entity/Q688255,Armin Seydelmann,S/Seydelmann_Armin_1872_1946,117475556
http://www.wikidata.org/entity/Q688412,Ferdinand Schubert,S/Schubert_Ferdinand-Lukas_1794_1859,118823035
http://www.wikidata.org/entity/Q688695,Richard Mayr,M/Maier_Richard_1877_1935,124142095
http://www.wikidata.org/entity/Q689498,János von Pallavicini,P/Pallavicini_Janos_1848_1941,102492291X
http://www.wikidata.org/entity/Q693649,August Breisky,B/Breisky_August_1830_1889,117630500
http://www.wikidata.org/entity/Q693649,August Breisky,B/Breisky_August_1830_1889,1157820026
http://www.wikidata.org/entity/Q694698,Gustav Kálnoky,K/Kalnoky-Koeroespatak_Gustav-Sigmund_1832_1898,119130491
http://www.wikidata.org/entity/Q695675,Josef Hlávka,H/Hlavka_Josef_1831_1908,118925946
http://www.wikidata.org/entity/Q695744,Karl Sigmund von Hohenwart,H/Hohenwart_Karl-Sigmund_1824_1899,11855283X
http://www.wikidata.org/entity/Q697194,Joseph von Eybler,E/Eybler_Joseph_1765_1846,118531522
http://www.wikidata.org/entity/Q697783,Ivan Kukuljević-Sakcinski,K/Kukuljevic-Sakcinski_Ivan_1816_1889,11904854X
http://www.wikidata.org/entity/Q697863,Karol Kuzmány,K/Kuzmany_Karol_1806_1866,121675211
http://www.wikidata.org/entity/Q698151,Bohumil Kubišta,K/Kubista_Bohumil_1884_1918,119342073
http://www.wikidata.org/entity/Q698430,Heinrich von Bellegarde,B/Bellegarde_Heinrich_1756_1845,116114614
http://www.wikidata.org/entity/Q698709,Louis Charles Folliot de Crenneville,F/Folliot-Crenneville_Ludwig-Karl_1763_1840,136001831
http://www.wikidata.org/entity/Q699547,Johann Puluj,P/Puluj_Johann_1845_1918,117705675
http://www.wikidata.org/entity/Q699890,Alois von Pražák,P/Prazak_Alois_1820_1901,130060755
http://www.wikidata.org/entity/Q700345,Josef Abel,A/Abel_Josef_1764_1818,130075248
http://www.wikidata.org/entity/Q701504,Károly Ferenczy,F/Ferenczy_Karl_1862_1917,116465530
