item,itemLabel,surname,first name,start_year,end_year,GND
http://www.wikidata.org/entity/Q716001,Artúr Görgei,Goergey-Goergoe-Toporcz,Arthur,1818,1916,118717898
http://www.wikidata.org/entity/Q716145,Mihailo Vitković,Vitkovics,Mihaly,1778,1829,
http://www.wikidata.org/entity/Q716504,Gábor Kazinczy,Kazinczy,Gabor,1818,1864,120990989
http://www.wikidata.org/entity/Q725492,František Tkadlík,Kadlik,Franz,1786,1840,116012315
http://www.wikidata.org/entity/Q727629,Jakub Jan Ryba,Ryba,Jakub-Jan,1765,1815,11945873X
http://www.wikidata.org/entity/Q729349,Franz Schönthaler,Schoenthaler,Franz,1821,1904,122735862
http://www.wikidata.org/entity/Q732081,Ludwig von Starhemberg,Starhemberg,Ludwig,1762,1833,117216542
http://www.wikidata.org/entity/Q738539,Carlo Michelstaedter,Michelstaedter,Carlo,1887,1910,118783769
http://www.wikidata.org/entity/Q741464,Sámuel Baron Jósika von Branyicska,Josika-Branyicska,Samu,1805,1860,117199109
http://www.wikidata.org/entity/Q761164,August Einspinner,Einspinner,August,1870,1927,130144770
http://www.wikidata.org/entity/Q761774,Károly Kétly,Ketly-Csurgo,Karoly,1839,1927,1013795725
http://www.wikidata.org/entity/Q761962,August Hornbostel,Hornbostel,August-Gottlieb,1786,1838,137634102
http://www.wikidata.org/entity/Q762589,August Köstlin,Koestlin,August,1825,1894,104187433
http://www.wikidata.org/entity/Q766082,Auguste Auspitz-Kolár,Auspitz-Kolar,Auguste,1843,1878,11631060X
http://www.wikidata.org/entity/Q766691,Auguste Lazar,Lazar,Auguste,1887,1970,118570404
http://www.wikidata.org/entity/Q78108,Julius Meier-Graefe,Maier-Graefe,Julius,1867,1935,118732641
http://www.wikidata.org/entity/Q78477,Joseph Schumpeter,Schumpeter,Joseph-Alois,1883,1950,118611682
http://www.wikidata.org/entity/Q78530,Viktor Ullmann,Ullmann,Viktor-Josef,1898,1944,119065193
http://www.wikidata.org/entity/Q78586,Leo Slezak,Slezak,Leo,1873,1946,118614959
http://www.wikidata.org/entity/Q78676,Johann Philipp von Stadion,Stadion-Warthausen,Johann-Philipp-Karl,1763,1824,118752413
http://www.wikidata.org/entity/Q78720,Ignaz Seipel,Seipel,Ignaz,1876,1932,11861293X
http://www.wikidata.org/entity/Q78744,Ernst Seidler von Feuchtenegg,Seidler-Feuchtenegg,Ernst,1862,1931,117464929
http://www.wikidata.org/entity/Q78802,Johann Amadeus Franz von Thugut,Thugut,Franz-Maria,1736,1818,118622390
http://www.wikidata.org/entity/Q78830,Georg Prochaska,Prochaska,Georg,1749,1820,104211520
http://www.wikidata.org/entity/Q78836,Alois Negrelli von Moldelbe,Negrelli-Moldelbe,Alois,1799,1858,118738321
http://www.wikidata.org/entity/Q78938,Wilhelmine Neruda,Neruda,Wilma,1839,1911,116940255
http://www.wikidata.org/entity/Q79035,Ernestine Schumann-Heink,Schumann-Heink,Ernestine,1861,1936,117303704
http://www.wikidata.org/entity/Q79040,Oskar Lenz,Lenz,Oskar,1848,1925,116917180
http://www.wikidata.org/entity/Q79128,Robert Martinek,Martinek,Robert,1889,1944,137935056
