i,item,itemLabel,oeblid,apis_id
14473,http://www.wikidata.org/entity/Q55846405,Walter Schmid von Schmidsfelden,S/Schmid-Schmidsfelden_Walter-Johann-Friedrich_1865_1946,41070.0
14474,http://www.wikidata.org/entity/Q55846447,Eduard Schnorr von Carolsfeld,S/Schnorr-Carolsfeld_Eduard_1790_1819,39390.0
14475,http://www.wikidata.org/entity/Q55846456,Eduard Ritter von Schoeller,S/Schoeller_Eduard_1803_1879,39590.0
14476,http://www.wikidata.org/entity/Q55886454,Andreas Theodor Schubert,S/Schubert_Andreas-Theodor_1823_1893,37661.0
14477,http://www.wikidata.org/entity/Q55886763,Gustav Adolf Schullerus,S/Schullerus_Gustav-Adolf_1838_1900,37362.0
14478,http://www.wikidata.org/entity/Q55914262,Ferdinand von Schuster-Bonnott,S/Schuster-Bonnott_Ferdinand_1826_1916,36972.0
14479,http://www.wikidata.org/entity/Q55888881,Berthold Seligmann,S/Seligmann_Berthold_1852_1925,35573.0
14480,http://www.wikidata.org/entity/Q55889646,Carl Ignaz Siegl,S/Siegl_Carl-Ignaz_1802_1889,34749.0
14481,http://www.wikidata.org/entity/Q55890106,Johann Simon Sina von Hodos und Kizdia,S/Sina-Hodos-Kizdia_Johann-Simon_1804_1869,34439.0
14482,http://www.wikidata.org/entity/Q55846688,Richard Ritter von Skene,S/Skene_Richard_1909_1945,33993.0
14483,http://www.wikidata.org/entity/Q55908714,Kaspar Speckbacher,S/Speckbacher_Caspar_1819_1899,32978.0
14484,http://www.wikidata.org/entity/Q55900577,Ignaz von Spleny von Nagy-Mihaldy,S/Spleny-Mihaldy_Ignaz-Pankraz-Galeaz_1772_1840,32503.0
14485,http://www.wikidata.org/entity/Q55902186,Joseph Stierle-Holzmeister,S/Stierle-Holzmeister_Josef_1781_1848,31230.0
14486,http://www.wikidata.org/entity/Q55893798,Salomon Strakosch,S/Strakosch_Salomon_1795_1867,29881.0
14487,http://www.wikidata.org/entity/Q55900705,Johann von Susan,S/Susan_Johann_1796_1887,28749.0
14488,http://www.wikidata.org/entity/Q55902400,Franz Tendler,T/Tendler_Franz_1790_1854,27901.0
14489,http://www.wikidata.org/entity/Q55847120,Friedrich Wilhelm Ritter von Voigtländer,V/Voigtlaender_Friedrich-Wilhelm_1846_1924,
14490,http://www.wikidata.org/entity/Q55837943,Franz Wieser Ritter von Wiesenhort,W/Wieser-Wiesenhort_Franz_1848_1923,
14491,http://www.wikidata.org/entity/Q55916287,Georg Emanuel Haas,H/Haas_Georg-Emanuel_1821_1895,80011.0
14492,http://www.wikidata.org/entity/Q55916382,Alexander Leitermayer,L/Leitermayer_Alexander_1826_1898,64117.0
14493,http://www.wikidata.org/entity/Q56411173,Pál Jozeffy,J/Jozeffy_Pal_1775_1848,74129.0
14494,http://www.wikidata.org/entity/Q56417166,Maria Anna von Schwarzenberg,S/Schwarzenberg_Maria-Anna_1768_1848,36576.0
14495,http://www.wikidata.org/entity/Q56490446,Johanna Fischer-Frey,F/Frey_Johanna_1867_1907,82818.0
14496,http://www.wikidata.org/entity/Q56597307,Heinrich Leitz,L/Leitz_Heinrich-Friedrich_1886_1930,64179.0
14497,http://www.wikidata.org/entity/Q56650136,František Ladislav Vorlíček,V/Vorlicek_Frantisek-Ladislav_1828_1865,
14498,http://www.wikidata.org/entity/Q56808214,Adam Rościszewski,R/Rosciszewski-Junosza_Adam_1774_1844,44762.0
14499,http://www.wikidata.org/entity/Q57317759,Ivan Simonetti,S/Simonetti_Giovanni_1817_1880,34364.0
14500,http://www.wikidata.org/entity/Q57593714,Wilhelm Leicht,L/Leicht_Wilhelm_1876_1946,64012.0
14501,http://www.wikidata.org/entity/Q57564377,"Promberger, Johann d. J.",P/Promberger_Johann_1810_1889,47798.0
14502,http://www.wikidata.org/entity/Q57733410,Volkmar Kühns,K/Kuehns_Volkmar_1832_1905,66673.0
14503,http://www.wikidata.org/entity/Q58042510,Max Silber,S/Silber_Max_1883_1942,34239.0
14504,http://www.wikidata.org/entity/Q58175724,Irma Komlosy,K/Komlosy_Irma_1850_,
14505,http://www.wikidata.org/entity/Q58697624,Johann Trost,T/Trost_Johann_1789_1867,91595.0
14506,http://www.wikidata.org/entity/Q58977002,Johann Christoph Stelzhammer,S/Stelzhamer_Johann-Christoph_1750_1840,31561.0
14507,http://www.wikidata.org/entity/Q59165544,Johann Anton zu Hardegg,H/Hardegg_Johann-Anton-Leonhard_1773_1825,79349.0
14508,http://www.wikidata.org/entity/Q59327343,Vladimír Labler,L/Labler_Wladimir_1847_1914,65891.0
14509,http://www.wikidata.org/entity/Q59453938,Josef Bergmann,B/Bergmann_Josef_1847_1932,89172.0
14510,http://www.wikidata.org/entity/Q59530820,Salomon Funk,F/Funk_Salomon_1866_1928,82439.0
14511,http://www.wikidata.org/entity/Q59601645,August Egon Hablawetz,H/Hablawetz_August-Egon_1833_1892,80115.0
14512,http://www.wikidata.org/entity/Q59601662,Anna Hauser,H/Hauser_Anna_1850_1907,78982.0
14513,http://www.wikidata.org/entity/Q59601672,Albert von Hermann,H/Hermann_Albert_1864_1895,77686.0
