"select ?z ?y
where
{?z dc:creator ""Gustav Klimt""@de .
?z dc:title ?y.
}
LIMIT 500",205 results,"select ?z ?y 
where
{?z dc:creator ""Klimt, Gustav""@en .
?z dc:title ?y.
}
LIMIT 500",9 results,"select ?z ?y 
where
{?z dc:creator ""Klimt, Gustav"".
?z dc:title ?y.
}
LIMIT 500",8 results,"select ?z ?y 
where
{?z dc:creator ""Gustav Klimt"".
?z dc:title ?y.
}
LIMIT 500",23 results
http://data.europeana.eu/proxy/provider/15508/30444,"""Stehendes Mädchen, die Hand in die Hüfte gestützt  (Studie für das Bildnis Mäda Primavesi)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30445,"""Sitzendes Mädchen von vorne  (Studie für das Bildnis Mäda Primavesi)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30446,"""Stehendes Mädchen, die Hände ineinandergelegt  (Studie für das Bildnis Mäda Primavesi)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30447,"""Stehendes Mädchen im Mantel, die Hand an der Hüfte (Studie für das Bildnis Mäda Primavesi)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30448,"""Stehendes Mädchen im Mantel  (Studie für das Bildnis Mäda Primavesi)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30460,"""Liegender Akt""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30569,"""Sitzender Mädchenakt nach links""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30645,"""Stehende (Studie für das Bildnis Eugenia Primavesi)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30646,"""Stehende im Dreiviertelprofil (Studie für das Bildnis Eugenia Primavesi)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/31459,"""Hygieia mit breitem Kopfputz (Studie für die Ölskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/31490,"""Brustbild eines Mädchens""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/31514,"""Stehende mit erhobenem linken Bein, rechts Wiederholung (Studien für Judith II [Salome])""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/32516,"""Brustbild eines kahlköpfigen alten Mannes (Studie für Liebe)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/32860,"""Stehende Tänzerin im Profil, den Kopf nach links gewendet (Studie für Die Tänzerin [Ria Munk II])""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/32944,"""Kopf einer alten Frau von vorne (Studie für ""Tod und Leben"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/32946,"""Liegender Akt""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/32947,"""Damenbrustbild im Dreiveirtelprofil""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/33355,"""Sitzendes Mädchen von der Seite  (Studie für das Bildnis Mäda Primavesi)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/34553,"""Sitzende nach links (Studie für das Bildnis Fritza Riedler)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/34554,"""Stehende mit Lehnstuhl (Studie für das Bildnis Rose von Rosthorn-Friedmann)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/34555,"""Sitzende  (Studie für das Bildnis Friederike Maria Beer)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/34556,"""Sitzende Frau mit aufgestütztem Kopf (Studie für die Ölskizze für Philosophie, Deckengemälde der Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/34557,"""Zwei Männerköpfe im verlorenen Profil (Studien für Der Kuss)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/34667,"""Halbbildnis einer Frau en face  (Studie für das Bildnis Johanna Staude)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/34933,"""Im Lehnstuhl sitzende Frau (Studie für das Bildnis Sonja Knips)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35165,"""Junge Frau im Straßenkleid""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35166,"""Stehende von vorne, mit herabhängenden Armen (Studie für das Bildnis Serena Lederer)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35167,"""Stehende mit Stuhl (Studie für das Bildnis Serena Lederer)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35168,"""Stehende von vorne, mit an die Taille gelegten Händen (Studie für das Bildnis Serena Lederer)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35169,"""Etwas nach Links Stehende, mit gebeugtem rechten Arm (Studie für das Bildnis Serena Lederer)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35170,"""Etwas nach links Stehende mit herabhängenden Armen  (Studie für das Bildnis Serena Lederer)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35171,"""Nach links Stehende mit erhobener rechter Hand (Studie für das Bildnis Serena Lederer)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35172,"""Etwas nach links Stehende mit herabhängenden Armen
Studie für das Bildnis Serena Lederer""@de",,,,,,
